component_name,count
"3G2,5",44
61_CT_kabelgoot,28
B2,2
CHP60-BW,100
E_Bend_Horizontal_CA_Generic_MEPcontent,3
E_Bend_Vertical_Outside_CA_Generic_MEPcontent,48
I1,1
PD 360/8 basic SMB,1
PD-C360i-8,1
PLX2000,2
Part1.sat,12
Part2.sat,12
Part3.sat,12
S20,38
S21,12
S22,20
S4Rx_Generic_CableTray,37
T3,12
T5,6
aardingspunt,7
asp 1 fase,15
brandmelder,50
cai aansluiting,24
contactdoos 4-voudig,5
contactdoos 4-voudig nood,3
handbrandmelder,1
lasdoos AK2,42
ledige leiding,12
perilex 2 fasen,12
plakschakelaar ontvanger,48
r=150,12
schakelaar enkelpolig,12
schakelaar tijdsvertraging,8
schakelaar ventilatie opbouw,12
schakelaar wissel,3
schakelaar wissel 2,1
standaard,16
wcd combinatie,4
wcd enkelvoudig,127
wcd enkelvoudig 2,8
wcd inbouw tweevoudig,70
wcd opbouw enkelvoudig,12
zender inbouw,48
