room_id;room_name;area_m2;component_type;component_id;object_type;x_m;y_m;z_m;x_norm;y_norm;z_norm
1S$f5UJPL6lvvbafDPKlIx;0.03d;10.153865312501253;lamp;2cItPlyHHCagf8BrNhpjT2;63_LF_Sylvania Start Surface Slim IP54 Square 4000LM 2CCT D opbouw:S20;8.583493334128343;20.91487290014239;2.575;0.4917440576584909;0.6874747663926674;0.9537037037037037
1S$f5UJPL6lvvbafDPKlIx;0.03d;10.153865312501253;socket;3QbHax$TTA59iZCPHwZLdD;62_EF_wcd_inbouw_tweevoudig_kindvriendelijk_hor:wcd inbouw tweevoudig;9.942124999999745;21.05532290014589;0.2750000000000001;0.9999999999999123;0.7244498881521722;0.10185185185185187
1S$f5UJPL6lvvbafDPKlIx;0.03d;10.153865312501253;socket;3QbHax$TTA59iZCPHwZLdG;62_EF_wcd_inbouw_tweevoudig_kindvriendelijk_hor:wcd inbouw tweevoudig;10.012124999999704;21.528572900142287;0.2750000000000001;1.026186579377966;0.8490385415670294;0.10185185185185187
1S$f5UJPL6lvvbafDPKlIx;0.03d;10.153865312501253;socket;3QbHax$TTA59iZCPHwZMGp;62_EF_wcd_inbouw_enkelvoudig:wcd enkelvoudig;7.268999999999805;21.848566278604288;0.2750000000000001;-7.309768616657622e-14;0.9332805788085615;0.10185185185185187
1S$f5UJPL6lvvbafDPKlIx;0.03d;10.153865312501253;socket;3QbHax$TTA59iZCPHwZMGm;62_EF_wcd_inbouw_enkelvoudig:wcd enkelvoudig;7.268999999999805;20.023566278604292;0.2750000000000001;-7.309768616657622e-14;0.45282776848876255;0.10185185185185187
1S$f5UJPL6lvvbafDPKlIx;0.03d;10.153865312501253;socket;3GvW2Im$P22xEgM773_lOh;62_EF_wcd_inbouw_enkelvoudig:wcd enkelvoudig;9.942124999999765;21.36112531277149;0.2750000000000001;0.9999999999999196;0.8049559859869918;0.10185185185185187
1S$f5UJPL6lvvbafDPKlDO;0.03a;4.395984917387336;lamp;2cItPlyHHCagf8BrNhpjT4;63_LF_Sylvania Start Surface Slim IP54 Square 1900LM 2CCT D opbouw:S21;9.222018216255915;17.379572900142286;2.575;0.32499621168367004;0.5962519622423367;0.9537037037037037
1S$f5UJPL6lvvbafDPKlDT;0.03b;3.679577364866389;socket;3QbHax$TTA59iZCPHwZLdh;62_EF_wcd_opbouw_enkelvoudig:wcd opbouw enkelvoudig;7.984914886955735;16.118072900142387;1.8750000000000002;0.560394210716465;-0.00014828568968434767;0.6944444444444445
1S$f5UJPL6lvvbafDPKlDT;0.03b;3.679577364866389;socket;3QbHax$TTA59iZCPHwZMNq;62_EF_wcd_inbouw_enkelvoudig:wcd enkelvoudig;7.268999999999805;16.78857290014229;1.475;-1.5295199440807987e-13;0.23264400664599313;0.5462962962962963
1S$f5UJPL6lvvbafDPKlAI;0.07d;10.153865312501603;lamp;2cItPlyHHCagf8BrNhpjVa;63_LF_Sylvania Start Surface Slim IP54 Square 4000LM 2CCT D opbouw:S20;27.483493334128305;20.91487290014239;2.575;0.4917440576584727;0.6874747663926758;0.9537037037037037
