component_name,count
"3G2,5",2356
B2,4
CHP60-BW,630
D 110,17
E_Bend_Horizontal_CA_Generic_MEPcontent,36
E_Bend_Vertical_Outside_CA_Generic_MEPcontent,27
Part1.sat,66
Part2.sat,66
Part3.sat,66
S4Rx_Generic_CableTray,1
T3,68
T3R,16
T3RB,48
aardingspunt,3
asp 1 fase,161
brandmelder,133
lasdoos AK2,80
lasdoos AK2 wand,66
ledige leiding,66
perilex 2 fasen,66
schakelaar enkelpolig,202
schakelaar ventilatie opbouw,28
schakelaar wissel,38
standaard,69
standaard plenum,2
wcd combinatie wissel,38
wcd enkelvoudig,405
wcd inbouw tweevoudig,768
wcd inbouw tweevoudig waterdicht,40
wcd opbouw enkelvoudig,29
